FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
44,,Falcon 9,2910.0,ISS,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,0.0,B1042,-80.6039558,28.6080585
45,,Falcon 9,475.0,SSO,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1035,-80.577366,28.5618571
46,,Falcon 9,4990.0,LEO,VAFB SLC 4E,True Ocean,2.0,True,True,False,,3.0,1.0,B1036,-120.610829,34.632093
47,,Falcon 9,9600.0,PO,CCSFS SLC 40,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1.0,B1043,-80.577366,28.5618571
48,,Falcon 9,5200.0,GTO,CCSFS SLC 40,True Ocean,2.0,True,True,True,,3.0,1.0,B1032,-80.577366,28.5618571
49,,Falcon 9,3700.0,GTO,KSC LC 39A,False ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,0.0,B1033,-80.6039558,28.6080585
50,,Falcon 9,9600.0,PO,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,2.0,1.0,B1023,-80.577366,28.5618571
51,,Falcon 9,6515.048089171974,LEO,VAFB SLC 4E,None None,2.0,True,True,False,,3.0,1.0,B1038,-120.610829,34.632093
52,,Falcon 9,4230.0,GTO,CCSFS SLC 40,None None,1.0,True,False,True,,4.0,0.0,B1044,-80.577366,28.5618571
53,,Falcon 9,1350.0,HCO,CCSFS SLC 40,None None,2.0,True,True,True,,4.0,1.0,B1041,-80.577366,28.5618571
54,,Falcon 9,1350.0,SSO,KSC LC 39A,None None,2.0,True,True,True,,4.0,1.0,B1039,-80.6039558,28.6080585
55,,Falcon 9,800.0,SSO,VAFB SLC 4E,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,1.0,B1045,-120.610829,34.632093
56,,Falcon 9,6092.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1046,-80.577366,28.5618571
57,,Falcon 9,9600.0,PO,CCSFS SLC 40,None None,2.0,True,True,False,,4.0,1.0,B1043,-80.577366,28.5618571
58,,Falcon 9,2760.0,ISS,CCSFS SLC 40,None None,2.0,False,True,False,,4.0,1.0,B1040,-80.577366,28.5618571
59,,Falcon 9,350.0,HEO,VAFB SLC 4E,None None,2.0,False,True,False,,4.0,1.0,B1045,-120.610829,34.632093
60,,Falcon 9,3750.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1047,-80.577366,28.5618571
61,,Falcon 9,4300.0,PO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,4.0,B1048,-80.577366,28.5618571
62,,Falcon 9,1160.0,PO,VAFB SLC 4E,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1046,-120.610829,34.632093
63,,Falcon 9,5383.85,GTO,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.6039558,28.6080585
64,,Falcon 9,2410.0,ISS,VAFB SLC 4E,True RTLS,2.0,True,True,True,5e9e3032383ecb554034e7c9,5.0,4.0,B1048,-120.610829,34.632093
